sn1.dat spDR2-023.fit -0.147253 473934.551015
sn1.dat spDR2-024.fit -0.191143 444027.871532
sn1.dat spDR2-025.fit -0.253664 446545.506323
sn1.dat spDR2-026.fit -0.369663 520159.426249
sn1.dat spDR2-027.fit -0.625983 861120.242644
sn2.dat spDR2-023.fit -0.121619 451618.272884
sn2.dat spDR2-024.fit -0.164161 428111.235820
sn2.dat spDR2-025.fit -0.223968 436720.216328
sn2.dat spDR2-026.fit -0.333505 517803.046471
sn2.dat spDR2-027.fit -0.571138 864948.198680
sn3.dat spDR2-023.fit -0.124307 454318.150918
sn3.dat spDR2-024.fit -0.167028 430362.545108
sn3.dat spDR2-025.fit -0.227197 438730.695037
sn3.dat spDR2-026.fit -0.337600 520008.877768
sn3.dat spDR2-027.fit -0.577747 869866.292826
sn4.dat spDR2-023.fit -0.125642 455801.433565
sn4.dat spDR2-024.fit -0.168550 431799.415015
sn4.dat spDR2-025.fit -0.229035 440281.019272
sn4.dat spDR2-026.fit -0.340129 522132.111496
sn4.dat spDR2-027.fit -0.582169 874877.060343
sn5.dat spDR2-023.fit -0.177981 511646.642168
sn5.dat spDR2-024.fit -0.226989 484367.682712
sn5.dat spDR2-025.fit -0.298793 496091.780335
sn5.dat spDR2-026.fit -0.436265 599251.371520
sn5.dat spDR2-027.fit -0.756428 1070303.584329
sn6.dat spDR2-023.fit -0.238823 576964.976129
sn6.dat spDR2-024.fit -0.295291 547413.891546
sn6.dat spDR2-025.fit -0.381422 565910.170347
sn6.dat spDR2-026.fit -0.553847 703142.831817
sn6.dat spDR2-027.fit -0.988084 1372043.278467
sn7.dat spDR2-023.fit -0.177141 507410.127634
sn7.dat spDR2-024.fit -0.224189 477205.982250
sn7.dat spDR2-025.fit -0.293022 484922.098357
sn7.dat spDR2-026.fit -0.424303 579612.123057
sn7.dat spDR2-027.fit -0.727059 1019874.392389
sn8.dat spDR2-023.fit -0.159945 487801.382186
sn8.dat spDR2-024.fit -0.203916 457028.698300
sn8.dat spDR2-025.fit -0.267438 461610.202588
sn8.dat spDR2-026.fit -0.386799 545287.785226
sn8.dat spDR2-027.fit -0.654953 932836.081345
