sn1.dat spDR2-023.fit 0.330939 0.294896 0.717725
sn1.dat spDR2-024.fit 0.337542 0.381315 0.725754
sn1.dat spDR2-025.fit 0.282946 0.320039 0.673372
sn1.dat spDR2-026.fit 0.398762 0.213022 0.559702
sn1.dat spDR2-027.fit 0.310643 0.271971 0.604222
sn2.dat spDR2-023.fit 0.305463 0.422497 0.651658
sn2.dat spDR2-024.fit 0.259034 0.486731 0.661606
sn2.dat spDR2-025.fit 0.241202 0.473618 0.672029
sn2.dat spDR2-026.fit 0.284677 0.314715 0.592128
sn2.dat spDR2-027.fit 0.232514 0.390073 0.559481
sn3.dat spDR2-023.fit 0.247526 0.554528 0.564023
sn3.dat spDR2-024.fit 0.266724 0.413809 0.656595
sn3.dat spDR2-025.fit 0.226786 0.458437 0.645543
sn3.dat spDR2-026.fit 0.239048 0.419936 0.640333
sn3.dat spDR2-027.fit 0.157600 0.504181 0.524190
sn4.dat spDR2-023.fit 0.293158 0.441829 0.634483
sn4.dat spDR2-024.fit 0.279463 0.361254 0.626609
sn4.dat spDR2-025.fit 0.203128 0.502633 0.609521
sn4.dat spDR2-026.fit 0.162628 0.555039 0.574647
sn4.dat spDR2-027.fit 0.229433 0.405885 0.552907
sn5.dat spDR2-023.fit 0.333819 0.419862 0.623437
sn5.dat spDR2-024.fit 0.315437 0.480544 0.600534
sn5.dat spDR2-025.fit 0.298365 0.346117 0.630929
sn5.dat spDR2-026.fit 0.253750 0.451524 0.636666
sn5.dat spDR2-027.fit 0.291267 0.362642 0.540691
sn6.dat spDR2-023.fit 0.356888 0.263234 0.559063
sn6.dat spDR2-024.fit 0.395120 0.370749 0.561461
sn6.dat spDR2-025.fit 0.261091 0.409126 0.588194
sn6.dat spDR2-026.fit 0.310472 0.439565 0.592205
sn6.dat spDR2-027.fit 0.318629 0.344941 0.542499
sn7.dat spDR2-023.fit 0.363208 0.272682 0.561063
sn7.dat spDR2-024.fit 0.334744 0.394562 0.600181
sn7.dat spDR2-025.fit 0.282010 0.458175 0.626223
sn7.dat spDR2-026.fit 0.307659 0.372389 0.584176
sn7.dat spDR2-027.fit 0.224272 0.413201 0.547718
sn8.dat spDR2-023.fit 0.301657 0.431100 0.581047
sn8.dat spDR2-024.fit 0.314724 0.413448 0.582464
sn8.dat spDR2-025.fit 0.292718 0.409690 0.601425
sn8.dat spDR2-026.fit 0.164478 0.613948 0.531101
sn8.dat spDR2-027.fit 0.180581 0.474050 0.521098
sn9.dat spDR2-023.fit 0.313279 0.237877 0.441608
sn9.dat spDR2-024.fit 0.280834 0.405997 0.564441
sn9.dat spDR2-025.fit 0.296645 0.462114 0.504709
sn9.dat spDR2-026.fit 0.161054 0.545838 0.528275
sn9.dat spDR2-027.fit 0.170560 0.458734 0.497995
sn10.dat spDR2-023.fit 0.355605 0.241847 0.466436
sn10.dat spDR2-024.fit 0.295625 0.430325 0.552430
sn10.dat spDR2-025.fit 0.301951 0.431130 0.530605
sn10.dat spDR2-026.fit 0.254924 0.414469 0.569980
sn10.dat spDR2-027.fit 0.244107 0.381807 0.512384
sn11.dat spDR2-023.fit 0.358448 0.265818 0.489171
sn11.dat spDR2-024.fit 0.287538 0.440650 0.560343
sn11.dat spDR2-025.fit 0.224598 0.465160 0.544873
sn11.dat spDR2-026.fit 0.187768 0.577157 0.533231
sn11.dat spDR2-027.fit 0.239751 0.355133 0.502338
sn12.dat spDR2-023.fit 0.377312 0.331426 0.520290
sn12.dat spDR2-024.fit 0.315948 0.410454 0.569828
sn12.dat spDR2-025.fit 0.311876 0.426626 0.571465
sn12.dat spDR2-026.fit 0.195986 0.594210 0.523044
sn12.dat spDR2-027.fit 0.272337 0.367542 0.519266
sn13.dat spDR2-023.fit 0.318107 0.414281 0.570339
sn13.dat spDR2-024.fit 0.336599 0.371935 0.612739
sn13.dat spDR2-025.fit 0.313663 0.373620 0.620033
sn13.dat spDR2-026.fit 0.263656 0.424362 0.612333
sn13.dat spDR2-027.fit 0.207011 0.423276 0.519017
sn14.dat spDR2-023.fit 0.394838 0.339130 0.608082
sn14.dat spDR2-024.fit 0.335669 0.334851 0.617360
sn14.dat spDR2-025.fit 0.296503 0.466196 0.637179
sn14.dat spDR2-026.fit 0.349513 0.361525 0.612016
sn14.dat spDR2-027.fit 0.295930 0.378491 0.579104
sn15.dat spDR2-023.fit 0.387554 0.337135 0.628484
sn15.dat spDR2-024.fit 0.295686 0.431520 0.606054
sn15.dat spDR2-025.fit 0.398828 0.259444 0.616752
